Supermercado,Nombre,Presentación,Precio,Ciudad,Unidad,Producto buscado,Cantidad,Precio_limpio,Precio_por_unidad,Categoria,Promedio_categoria_supermercado
Soriana,Naranja Kg,1 kg,24.8,Tijuana,kg,Naranja,1.0,24.8,24.8,Naranja,26.65
Soriana,Bolsa de Basura Precíssimo Naranja Tamaño Grande 62cm X 76cm,60 piezas,75.0,Tijuana,pza,Naranja,60.0,75.0,1.25,Naranja,26.65
Soriana,Naranja S/Semilla Kg,1 kg,53.9,Tijuana,kg,Naranja,1.0,53.9,53.9,Naranja,26.65
Soriana,Pan en Barra Blanco Bimbo Grande,620 g,44.9,Tijuana,g,Pan de caja,620.0,44.9,0.0724,Pan de caja,0.09
Soriana,Pan en Barra Integral Bimbo Grande,620 g,52.9,Tijuana,g,Pan de caja,620.0,52.9,0.0853,Pan de caja,0.09
Soriana,Pan Artesano Bimbo Grande,567 g,57.9,Tijuana,g,Pan de caja,567.0,57.9,0.1021,Pan de caja,0.09
Soriana,Papa blanca Kg,1 kg,19.8,Tijuana,kg,Papa,1.0,19.8,19.8,Papa,26.87
Soriana,Papa Morena Kg,1 kg,21.0,Tijuana,kg,Papa,1.0,21.0,21.0,Papa,26.87
Soriana,Papa Cambray Kg,1 kg,39.8,Tijuana,kg,Papa,1.0,39.8,39.8,Papa,26.87
Soriana,Papel higiénico Quality Day Soft & Roll 40 Rollos,100 g,189.9,Tijuana,g,Papel higiénico,100.0,189.9,1.899,Papel higiénico,1.91
Soriana,Papel Higiénico Regio Luxury Almond Touch 32 rollos,100 g,355.0,Tijuana,g,Papel higiénico,100.0,355.0,3.55,Papel higiénico,1.91
Soriana,Papel higiénico Quality Day Soft & Roll 4 Rollos,100 g,27.5,Tijuana,g,Papel higiénico,100.0,27.5,0.275,Papel higiénico,1.91
Soriana,Pasta Almeja La Moderna,220g,12.5,Tijuana,g,Pasta para sopa,220.0,12.5,0.0568,Pasta para sopa,10.34
Soriana,Pasta Italpasta Almejas,200g,10.0,Tijuana,g,Pasta para sopa,200.0,10.0,0.05,Pasta para sopa,10.34
Soriana,Sopa Inst De Verdudas Sabor Piquin-Limon,Desconocida,30.9,Tijuana,pz,Pasta para sopa,1.0,30.9,30.9,Pasta para sopa,10.34
Soriana,Pollo Entero con Visceras Bachoco Precio por Kilo,Desconocida,38.9,Tijuana,pz,Pollo entero,1.0,38.9,38.9,Pollo entero,59.23
Soriana,Pollo Entero C/V Pilgrims Kg,1 kg,38.9,Tijuana,kg,Pollo entero,1.0,38.9,38.9,Pollo entero,59.23
Soriana,Pollo Entero Granavia con Adobo Kg,1 kg,99.9,Tijuana,kg,Pollo entero,1.0,99.9,99.9,Pollo entero,59.23
Soriana,Sardina Valley Foods en Salsa de Tomate,425 g,20.0,Tijuana,g,Sardina en lata,425.0,20.0,0.0471,Sardina en lata,0.07
Soriana,Sardina En Salsa De Tomate Dolores Lata,425g,41.5,Tijuana,g,Sardina en lata,425.0,41.5,0.0976,Sardina en lata,0.07
Soriana,Tortilla de Maíz Blanca,1 Kg,13.9,Tijuana,kg,Tortilla de maíz,1.0,13.9,13.9,Tortilla de maíz,14.43
Soriana,Tortilla de Maíz Amarilla,1 Kg,13.9,Tijuana,kg,Tortilla de maíz,1.0,13.9,13.9,Tortilla de maíz,14.43
Soriana,Tortilla de Maíz Blanca Taquera,1 Kg,15.5,Tijuana,kg,Tortilla de maíz,1.0,15.5,15.5,Tortilla de maíz,14.43
Soriana,Zanahoria Kg,1 kg,13.9,Tijuana,kg,Zanahoria,1.0,13.9,13.9,Zanahoria,4.69
Soriana,Zanahorias La Costeña en Escabeche,230 g,15.3,Tijuana,g,Zanahoria,230.0,15.3,0.0665,Zanahoria,4.69
Soriana,Zanahoria Baby Vegetalistos,340 g,37.5,Tijuana,g,Zanahoria,340.0,37.5,0.1103,Zanahoria,4.69
