Producto buscado,Nombre,Unidad,Cantidad,Precio,Precio_por_unidad,Promedio_categoria_supermercado,Supermercado
Sardina en lata,Sardina En Salsa De Tomate Dolores Lata,g,425.0,41.5,0.0976,0.07,Soriana
Tortilla de maíz,Tortilla de Maíz Blanca,kg,1.0,13.9,13.9,14.43,Soriana
Tortilla de maíz,Tortilla de Maíz Amarilla,kg,1.0,13.9,13.9,14.43,Soriana
Tortilla de maíz,Tortilla de Maíz Blanca Taquera,kg,1.0,15.5,15.5,14.43,Soriana
Zanahoria,Zanahoria Kg,kg,1.0,13.9,13.9,4.69,Soriana
Zanahoria,Zanahorias La Costeña en Escabeche,g,230.0,15.3,0.0665,4.69,Soriana
Zanahoria,Zanahoria Baby Vegetalistos,g,340.0,37.5,0.1103,4.69,Soriana
Aceite ,-24% Aceite Pino Pinol 828- Ml,ml,828.0,27.0,0.0326,0.05,Calimax
Aceite ,-11% Aceite Puro Canola Canoil 946- Ml,ml,946.0,42.0,0.0444,0.05,Calimax
Aceite ,Aceite Soya Nutrioli 850- Ml,ml,850.0,52.0,0.0612,0.05,Calimax
Arroz ,-5% Arroz Super Extra Diamcers 1- Kg,kg,1.0,36.0,36.0,20.68,Calimax
Arroz ,-9% Arroz Super Extra Verde Valle 900- Gr,g,900.0,40.0,0.0444,20.68,Calimax
Arroz ,Arroz Super Extra Max Select 0- Kg,pz,1.0,26.0,26.0,20.68,Calimax
Atún,-13% Atún en Agua Dolores,g,130.0,23.0,0.1769,0.17,Calimax
Atún,-10% Atún En Agua Dolores 295- Gr,g,295.0,47.0,0.1593,0.17,Calimax
Atún,-13% Atún en Aceite Dolores,g,130.0,23.0,0.1769,0.17,Calimax
Azúcar morena,-14% Azucar Mascabado Zulka 500- Gr,g,500.0,28.0,0.056,0.25,Calimax
Azúcar morena,-40% Azucar Genuino Mascabado Metco 500- Gr,g,500.0,44.0,0.088,0.25,Calimax
Azúcar morena,Azucar Mascabado Genuino Metco 50- Sob,sob,50.0,31.0,0.62,0.25,Calimax
Bistec de res,-20% Bistec Paleta De Res Max Grill Por Kg Kilogramos Unidades,kg,1.0,249.0,249.0,252.0,Calimax
Bistec de res,-30% Bistec Paleta De Res Cortefino Por Kg Kilogramos Unidades,kg,1.0,255.0,255.0,252.0,Calimax
Cebolla ,Cebolla Blanca Limpia S/Marca Por Kg Kilogramos Unidades,kg,1.0,22.0,22.0,23.0,Calimax
Cebolla ,Cebolla Morada S/Marca Por Kg Kilogramos Unidades,kg,1.0,25.0,25.0,23.0,Calimax
Cebolla ,Cebolla Blanca Americana S/Marca 1- Kg Kilogramos Unidades,kg,1.0,22.0,22.0,23.0,Calimax
Chile jalapeño,-14% Chile JalapeÑO S/Marca Por Kg Kilogramos Unidades,kg,1.0,28.0,28.0,9.38,Calimax
Chile jalapeño,-14% Chile Jalapeno Para Nachos La Costena 220- Gr,g,220.0,18.0,0.0818,9.38,Calimax
Chile jalapeño,-10% Chile Jalapeno En Escabeche San Marcos 215-Gr,g,215.0,15.0,0.0698,9.38,Calimax
Chuleta de puerco,-16% Chuleta Ahumada De Cerdo Por Kg Kilogramos Unidades,kg,1.0,119.0,119.0,194.0,Calimax
